カテゴリ,機能名,進捗率,ステータス,備考
商品一覧・検索,カテゴリ一覧・検索,100%,完了,基本検索・フィルタ実装済み
シミュレーター,価格計算・SVGプレビュー,100%,完了,リアルタイム反映UI
会員・権限管理,B2B組織・ロール管理,100%,完了,管理者/承認者/発注担当/設計担当
注文・承認フロー,ワークフロー・再注文,100%,完了,ステータス遷移・過去仕様復旧
運用管理,ステータス更新・進捗表示,100%,完了,プログレスバー・納期回答ロジック
見積発行,PDF生成（安定化対応済）,100%,完了,日本語対応・fontkit登録済み
システム連携,CADデータ連携,100%,完了,DXFデータの動的生成・ダウンロード
デザイン,レスポンシブ・自動スクロール,100%,完了,全デバイス対応・ScrollToTop
サイトコンテンツ,サポート詳細ページ群,100%,完了,選定ガイド・CAD案内・納期・問合せ
サイトコンテンツ,会社案内・採用情報詳細,100%,完了,ミッション・沿革・募集職種・選考フロー
サイトコンテンツ,採用エントリー・面談フォーム,100%,完了,応募・カジュアル面談の各フォーム
環境・基盤,TypeScript・Proxy最適化,100%,完了,TS2802エラー解消・APIプロキシ設定
